Umlauf,Dienste,Linie,Fahrtnummer,Betriebstage,Planungsbedingung,Typ,Fahrtart,Fahrzeugtypgruppe,Fahrzeugtyp,Beschreibung,von,Startzeit,von (Beschreibung),nach,Endzeit,nach (Beschreibung),Dauer,Meter,_source_order,start_min,end_min,dur_min,vehicle_type,consumption_wh_per_m,battery_capacity_kwh,trip_energy_kwh,_vehicle_fallback,start_hhmm,end_hhmm
"OW02EC1","OW12EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","10:11:00","Wels Noitzmühlstraße BP","OWESANO2","10:11:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","103","611","611","0","NGB/LB12","1.2","400","0","false","10:11","10:11"
"OW02EC1","OW02EC1","700450","7004146","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","10:36:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","11:11:00","Wels Noitzmühlstraße, Mast 1","00:35:00","11910","104","636","671","35","NGB/LB12","1.2","400","14.292","false","10:36","11:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","10:36:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","10:36:00","Wels Nico-Dostal-Straße BP","00:00:00","0","105","636","636","0","NGB/LB12","1.2","400","0","false","10:36","10:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","10:36:00","Wels Nico-Dostal-Straße BP","OWENIDO1","10:36:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","106","636","636","0","NGB/LB12","1.2","400","0","false","10:36","10:36"
"OW02EC1","OW02EC1","700450","7004151","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","11:11:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","11:36:00","Wels Nico-Dostal-Straße, Mast 2","00:25:00","7280","107","671","696","25","NGB/LB12","1.2","400","8.736","false","11:11","11:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","11:11:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","11:11:00","Wels Noitzmühlstraße BP","00:00:00","0","108","671","671","0","NGB/LB12","1.2","400","0","false","11:11","11:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","11:11:00","Wels Noitzmühlstraße BP","OWESANO2","11:11:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","109","671","671","0","NGB/LB12","1.2","400","0","false","11:11","11:11"
"OW02EC1","OW02EC1","700450","7004154","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","11:36:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","12:11:00","Wels Noitzmühlstraße, Mast 1","00:35:00","11910","110","696","731","35","NGB/LB12","1.2","400","14.292","false","11:36","12:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","11:36:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","11:36:00","Wels Nico-Dostal-Straße BP","00:00:00","0","111","696","696","0","NGB/LB12","1.2","400","0","false","11:36","11:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","11:36:00","Wels Nico-Dostal-Straße BP","OWENIDO1","11:36:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","112","696","696","0","NGB/LB12","1.2","400","0","false","11:36","11:36"
